zpid,price,priceForHDP,daysOnZillow,price,livingArea,lotAreaValue,homeType,rentZestimate,Predicted Score (Linear),Linear Risk Level,Predicted Score (GBT),GBT Risk Level,Predicted Score (RF),RF Risk Level,Average Score,Average Risk Level,investment_risk
335654715,5515000.0,5515000.0,-1,5515000.0,2355.0,1.1,CONDO,15349.0,3.3547323697252023,Low,10.933900265204821,Low,11.904497484868271,Low,9.327700657207396,Low,14337.22195
2057220927,2695000.0,2695000.0,-1,2695000.0,0.0,0.0,CONDO,6950.0,1.637873902075902,Low,5.301088792844245,Low,5.809848620326388,Low,4.542966238758026,Low,7004.9151
114316520,7250000.0,7250000.0,23,7250000.0,3315.0,1.1632,CONDO,15713.0,4.4112292807044895,Low,14.416386526846177,Low,15.666811139158103,Low,12.279759704143592,Low,18849.2767816
111930562,999000.0,999000.0,23,999000.0,1268.0,1.1632,CONDO,5570.0,0.6058229369521418,Low,1.932578293150704,Low,2.140111902787035,Low,1.670087125323476,Low,2597.2632816
249664942,2650000.0,2650000.0,-1,2650000.0,1260.0,0.0,CONDO,5831.0,1.610911009681982,Low,5.228089144785844,Low,5.714134166031104,Low,4.472187965072531,Low,6889.7627999999995
2057334022,2395000.0,2395000.0,-1,2395000.0,1514.0,0.0,CONDO,5935.0,1.4557337297842932,Low,4.7297071703372495,Low,5.1614011444405365,Low,4.042262994215317,Low,6227.0364
2126587308,699000.0,699000.0,27,699000.0,691.0,0.8855,CONDO,3599.0,0.4231628257377446,Low,1.3416574056623891,Low,1.4910226700636877,Low,1.1632161264488408,Low,1817.1640427500001
335654378,1530000.0,1530000.0,-1,1530000.0,1046.0,1.1,CONDO,5227.0,0.9290491055491777,Low,2.98343667219029,Low,3.2886124786483983,Low,2.5684619829872544,Low,3977.68775
249698546,1749000.0,1749000.0,28,1749000.0,1311.0,1.2861,CONDO,5689.0,1.062419445486604,Low,3.4338802593443876,Low,3.765726336419817,Low,2.944746498308943,Low,4547.28174305
335654240,2075000.0,2075000.0,-1,2075000.0,1312.0,1.26,CONDO,5795.0,1.2608742876146368,Low,4.131137571288712,Low,4.471609974656884,Low,3.5112147066969763,Low,5394.83663
2057478127,1390000.0,1390000.0,-1,1390000.0,1101.0,0.4687,CONDO,3969.0,0.8439223124165752,Low,2.768133540056794,Low,2.986533091725607,Low,2.3493127211682077,Low,3614.1308343499995
335654757,2085000.0,2085000.0,-1,2085000.0,1548.0,1.1,CONDO,6717.0,1.2669637099769033,Low,4.133191957532794,Low,4.491022229920807,Low,3.522548334993784,Low,5420.843150000001
15148533,879000.0,879000.0,38,879000.0,890.0,0.6665977961432507,CONDO,4139.0,0.5327641945624249,Low,1.6398263881291189,Low,1.8805143800066113,Low,1.4514376021483089,Low,2285.246233298898
