zpid,city,homeType,homeStatus,lotAreaUnit,state,newConstructionType,Average Risk Level,bathrooms,bedrooms,livingArea,lotAreaValue,price,rentZestimate,zipcode,taxAssessedValue,datePriceChanged,priceChange,Average Score,investment_risk
89238030,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,3.0,3.0,2485.0,0.260720845,2549000.0,9499.0,94104.0,1730520.0,0.0,0.0,4.343022649084412,6690.78045
2063050085,San Francisco,SINGLE_FAMILY,FOR_SALE,sqft,CA,BUILDER_PLAN,blank,4.0,3.0,1882.0,8673.5,5660000.0,17313.0,94105.0,4445308.0,0.0,0.0,9.605437458947009,14758.2851825
2067085673,San Francisco,SINGLE_FAMILY,FOR_SALE,sqft,CA,BUILDER_PLAN,blank,3.0,2.0,1262.0,4983.5,2450000.0,6460.0,94105.0,954996.5,0.0,0.0,4.155020709685203,6372.15965
335654477,San Francisco,CONDO,FOR_SALE,acres,CA,BUILDER_SPEC,Low,1.0,1.0,791.0,1.1,1300000.0,4037.0,94105.0,1303597.0,0.0,0.0,2.192379808843224,3379.73875
82785963,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,1.0,1.0,694.0,0.410123967,749000.0,3147.5,94105.0,763980.0,0.0,0.0,1.2489686199396932,1947.2456
2067085670,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_PLAN,blank,3.0,2.0,2226.0,4376.30645,5900000.0,9474.0,94105.0,3369628.0,0.0,0.0,10.006438191744442,15328.700903224999
79843632,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,1.0,1.0,759.0,0.0,840000.0,3560.0,94105.0,976076.0,0.0,0.0,1.4077064696434485,2183.8429
111934403,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,4.0,3.0,3315.0,1.1632,6800000.0,11867.0,94105.0,4273348.5,0.0,0.0,11.528561026984484,17606.791827500005
2067085671,San Francisco,SINGLE_FAMILY,FOR_SALE,sqft,CA,BUILDER_PLAN,blank,2.0,2.0,1623.0,1.0145959595,3820000.0,11917.0,94105.0,2658556.0,0.0,0.0,6.479190970122227,9883.2309775
2067085672,San Francisco,SINGLE_FAMILY,FOR_SALE,sqft,CA,BUILDER_PLAN,blank,3.0,2.0,1748.0,10.515550000000001,5400000.0,16526.0,94105.0,1922214.0,0.0,0.0,9.16217505933302,14039.709374999999
15148165,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,1.0,0.0,420.0,0.8827,418000.0,2833.0,94105.0,199276.0,0.0,0.0,0.6879725288022007,1091.4281500000002
15148590,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,1.0,1.0,811.0,0.6666,875000.0,4740.0,94105.0,460637.0,0.0,0.0,1.4477737423951198,2277.2747339999996
325647612,San Francisco,CONDO,FOR_SALE,sqft,CA,NEW_CONSTRUCTION_TYPE_OTHER,Low,3.0,3.0,1934.0,0.0,3725000.0,11447.0,94105.0,3201000.0,0.0,0.0,6.292415746310077,9683.894299999998
325647575,San Francisco,CONDO,FOR_SALE,sqft,CA,NEW_CONSTRUCTION_TYPE_OTHER,Low,3.0,3.0,1898.0,0.0,3575000.0,10982.0,94105.0,3148000.0,0.0,0.0,6.043383546403482,9293.9906
69819159,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,3.0,2.0,1527.0,0.0,2950000.0,6036.5,94105.0,2772370.0,0.0,0.0,4.990797700214824,7675.569899999999
2067085668,San Francisco,SINGLE_FAMILY,FOR_SALE,sqft,CA,BUILDER_PLAN,blank,4.0,3.0,2263.0,0.7784940309999999,6880000.0,9949.0,94105.0,3267406.5,0.0,0.0,11.689163497925936,17903.41863
241586324,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,1.0,1.0,0.0,1.7311,799000.0,3300.0,94105.0,753000.0,0.0,0.0,1.3347315152263404,2076.4209655500003
335654715,San Francisco,CONDO,FOR_SALE,acres,CA,BUILDER_SPEC,Low,3.0,4.0,2355.0,1.1,5515000.0,15349.0,94105.0,5372414.0,0.0,0.0,9.327700657207396,14337.22195
2057220927,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_SPEC,Low,2.0,2.0,0.0,0.0,2695000.0,6950.0,94105.0,1287173.0,0.0,0.0,4.542966238758026,7004.9151
111910164,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,2.0,2.0,1098.0,1.1632,1250000.0,4497.0,94105.0,1327500.0,0.0,0.0,2.123611536112939,3285.0934159999997
114316520,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,4.0,3.0,3315.0,1.1632,7250000.0,15713.0,94105.0,5740504.0,0.0,0.0,12.279759704143592,18849.2767816
111930562,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,2.0,2.0,1268.0,1.1632,999000.0,5570.0,94105.0,1171996.0,0.0,0.0,1.670087125323476,2597.2632816
249664942,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_SPEC,Low,3.0,2.0,1260.0,0.0,2650000.0,5831.0,94105.0,2551916.0,0.0,0.0,4.472187965072531,6889.7628
2057334022,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_SPEC,Low,2.0,2.0,1514.0,0.0,2395000.0,5935.0,94105.0,437553.5,0.0,0.0,4.042262994215317,6227.0364
15148537,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,2.0,2.0,1083.0,0.0,1085000.0,5277.0,94105.0,1166012.0,0.0,0.0,1.8146211307790336,2820.8966
114317207,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,3.0,2.0,1652.0,1.1632,1350000.0,4956.5,94105.0,1998750.0,0.0,0.0,2.3522790900336963,3620.8859421750003
2126587308,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,1.0,1.0,691.0,0.8855,699000.0,3599.0,94105.0,442702.0,0.0,0.0,1.1632161264488408,1817.16404275
335654378,San Francisco,CONDO,FOR_SALE,acres,CA,BUILDER_SPEC,Low,2.0,2.0,1046.0,1.1,1530000.0,5227.0,94105.0,1610382.0,0.0,0.0,2.5684619829872544,3977.68775
249698546,San Francisco,CONDO,FOR_SALE,acres,CA,NEW_CONSTRUCTION_TYPE_OTHER,Low,2.0,2.0,1311.0,1.2861,1749000.0,5689.0,94105.0,1926808.0,0.0,0.0,2.944746498308943,4547.28174305
335654240,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,2.0,2.0,1312.0,1.26,2075000.0,5795.0,94105.0,2157248.0,0.0,0.0,3.5112147066969763,5394.83663
2057478127,San Francisco,CONDO,FOR_SALE,acres,CA,BUILDER_SPEC,Low,1.0,1.0,1101.0,0.4687,1390000.0,3969.0,94105.0,812882.5,0.0,0.0,2.349312721168208,3614.13083435
335654757,San Francisco,CONDO,FOR_SALE,acres,CA,BUILDER_SPEC,Low,2.0,2.0,1548.0,1.1,2085000.0,6717.0,94105.0,2706441.0,0.0,0.0,3.522548334993784,5420.843150000001
114317296,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,4.0,2.0,2819.0,0.0,5750000.0,1474.0,94105.0,5006670.0,0.0,0.0,9.639989891958544,14832.80125
15148533,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,1.0,1.0,890.0,0.666597796,879000.0,4139.0,94105.0,877910.0,0.0,0.0,1.450372843521646,2283.3462420000005
15148627,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,1.0,1.0,941.0,0.6666,899000.0,4111.0,94105.0,754800.0,0.0,0.0,1.5094508478297386,2338.589435
2057582177,San Francisco,CONDO,FOR_SALE,acres,CA,BUILDER_SPEC,Low,2.0,2.0,1375.0,0.4687,3995000.0,12470.0,94105.0,1764848.0,0.0,0.0,6.752992762419468,10384.90933435
249664541,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,2.0,2.0,1495.0,1.7311,2295000.0,6289.0,94105.0,2461000.0,0.0,0.0,3.893431719974446,5966.929265549999
335654575,San Francisco,CONDO,FOR_SALE,acres,CA,BUILDER_SPEC,Low,1.0,1.0,808.0,1.1,1180000.0,3933.0,94105.0,1231425.0,0.0,0.0,1.9812772810602883,3067.79035
2075613395,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,3.0,3.0,2683.0,1.7311,5400000.0,16305.5,94105.0,1922214.0,0.0,0.0,9.163202828358841,14038.483
111710966,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,1.0,1.0,833.0,1.1632,799000.0,3949.0,94105.0,926250.0,0.0,0.0,1.335565226641539,2078.34065
15148637,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,2.0,2.0,1083.0,0.6666,1148000.0,5043.0,94105.0,1336378.0,0.0,0.0,1.953024973061721,3021.4777999999997
2095993637,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,3.0,2.0,5009.0,0.0,14000000.0,2550.0,94105.0,244146.0,0.0,0.0,23.462989024488365,35880.05940124999
337887487,San Francisco,TOWNHOUSE,FOR_SALE,acres,CA,NEW_CONSTRUCTION_TYPE_OTHER,blank,1.0,1.0,747.0,0.357,1260000.0,3811.0,94108.0,1059272.0,0.0,0.0,2.123611536112939,3285.0934159999997
15068048,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,2.0,2.0,0.0,0.0,4500000.0,2440.0,94108.0,3737344.0,0.0,0.0,7.612340449828952,11667.99625
15067596,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,2.0,2.0,690.0,0.0,688000.0,3496.0,94108.0,761940.0,0.0,0.0,1.150858572264683,1788.5843
15068634,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,1.0,1.0,736.0,0.3841,749000.0,3184.0,94108.0,693085.0,0.0,0.0,1.2489803467837397,1947.34229205
337887490,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_SPEC,Low,3.0,2.0,1422.0,0.0,2345000.0,6081.0,94108.0,2012666.0,0.0,0.0,3.958819671615305,6096.8822
15068212,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,3.0,3.0,1808.0,0.253145087,1395000.0,8400.0,94108.0,1648906.0,0.0,0.0,2.3576016150038734,3633.117325
337887492,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_SPEC,Low,2.0,2.0,1321.0,0.0,2095000.0,5737.0,94108.0,1836085.0,0.0,0.0,3.536698121435748,5446.864200000001
2060461492,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,4.0,4.0,3140.0,0.291620753,2995000.0,9001.0,94108.0,2235539.5,0.0,0.0,5.063119574325389,7788.54585
15068541,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,1.0,0.0,535.0,0.0,635000.0,2496.0,94108.0,641347.0,1683270000000.0,-24000.0,1.0634605456219528,1650.8933
15068161,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,2.0,3.0,1782.0,2465.496,1585000.0,7685.0,94108.0,1595546.0,1686730000000.0,-10000.0,2.679981644156836,4122.065748
15068387,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,1.0,1.0,511.0,0.0,550000.0,2745.0,94108.0,586000.0,1686030000000.0,-100000.0,0.9094940580650112,1429.7898
241585503,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,3.0,3.0,1756.0,2779.128,1895000.0,8466.0,94108.0,1058224.0,1687160000000.0,-100000.0,3.1932113674634675,4927.957064000001
2079047799,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,4.0,3.0,4320.0,0.0,8995000.0,28295.0,94108.0,8033928.5,0.0,0.0,15.267600986118811,23383.7406
15068440,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,1.0,1.0,656.0,0.0,687000.0,3426.0,94108.0,367827.0,1683870000000.0,-21000.0,1.2745474842867215,2002.5010499999999
15068409,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,1.0,1.0,756.0,3437.0,699000.0,3274.0,94108.0,1017088.0,1686900000000.0,-86000.0,1.1639548572793823,1819.0436
2107694405,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,4.0,3.0,2426.0,0.3332,5200000.0,16559.0,94108.0,2002167.5,0.0,0.0,8.794300716837077,13517.9947666
15067980,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,3.0,2.0,2592.0,0.340748393,3875000.0,12201.0,94108.0,3875000.0,0.0,0.0,6.5823426678538315,10127.530882000001
337887491,San Francisco,CONDO,FOR_SALE,acres,CA,BUILDER_SPEC,Low,2.0,2.0,1201.0,0.357,2049000.0,4999.0,94108.0,1836082.0,0.0,0.0,3.4835956923303444,5327.3417785
337887429,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_SPEC,Low,1.0,1.0,539.0,0.0,1235000.0,2749.0,94108.0,970987.0,0.0,0.0,2.063524302936963,3210.8222
241583295,San Francisco,MULTI_FAMILY,FOR_SALE,sqft,CA,no,blank,3.0,2.0,2950.0,1001.88,1900000.0,6185.0,94108.0,1619135.0,1687420000000.0,-180000.0,3.004470053149807,4637.2080000000005
15068548,San Francisco,CONDO,FOR_SALE,acres,CA,no,Low,1.0,0.0,411.0,0.7269,475000.0,3498.0,94108.0,483000.0,0.0,0.0,0.7815009383257855,1234.4987634499998
2060459411,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,4.0,2.0,3752.0,4693.0,8700000.0,10062.5,94108.0,1367608.5,0.0,0.0,14.848127201453568,22807.70513625
15068183,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,4.0,4.0,3083.0,0.291620753,3250000.0,10326.0,94108.0,1838910.0,0.0,0.0,5.490804525685945,8452.00748
15068685,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,3.0,2.0,2980.0,4693.0,5950000.0,12394.5,94108.0,4225480.0,1682580000000.0,-400000.0,6.754510685288949,10390.11102
15068192,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,4.0,4.0,2454.0,0.0,2600000.0,10427.0,94108.0,2820315.0,0.0,0.0,4.406840991911373,6746.4977
15068023,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,3.0,2.0,2075.0,0.0,2300000.0,8184.0,94108.0,2525000.0,0.0,0.0,3.899608075702933,5980.1164
15068560,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,1.0,1.0,706.0,0.0,759000.0,3214.0,94108.0,335867.0,1681460000000.0,-71000.0,1.2618925980126046,1973.2831
15068081,San Francisco,CONDO,FOR_SALE,acres,CA,no,blank,3.0,3.0,2780.0,0.333539945,4150000.0,11999.0,94108.0,87070.0,1682490000000.0,-350000.0,1.765609810992077,2731.412675
337887495,San Francisco,CONDO,FOR_SALE,sqft,CA,BUILDER_SPEC,Low,2.0,2.0,1408.0,0.0,2950000.0,5798.0,94108.0,2471609.0,0.0,0.0,4.987560841218492,7669.950299999999
2124398936,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,1.0,1.0,645.0,0.0,695000.0,3099.0,94108.0,670690.0,0.0,0.0,1.1586855117129344,1806.9784
2061251148,San Francisco,MULTI_FAMILY,FOR_SALE,sqft,CA,no,blank,0.0,9.0,5580.0,2874.96,1980000.0,3246.0,94108.0,1110627.0,0.0,0.0,3.347460231914696,5156.086392499999
15067650,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,2.0,2.0,690.0,0.526860514,710000.0,3495.0,94108.0,429339.0,0.0,0.0,1.1857455182365866,1848.3678049999999
15068550,San Francisco,CONDO,FOR_SALE,sqft,CA,no,blank,1.0,1.0,886.0,0.0,930000.0,3729.0,94108.0,248135.0,1685520000000.0,-20000.0,1.1868378923233047,1846.254034
15068166,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,3.0,2.0,2920.0,2465.496,5995000.0,10979.0,94108.0,3480816.0,1680850000000.0,-900000.0,10.153722015194232,15588.443148
241583292,San Francisco,MULTI_FAMILY,FOR_SALE,sqft,CA,no,blank,0.0,4.0,3000.0,997.524,1680000.0,4557.0,94108.0,1985711.0,1669710000000.0,-200000.0,4.853920670536226,7421.11712
124859561,San Francisco,LOT,FOR_SALE,sqft,CA,no,blank,0.0,5.0,0.0,9522.216,13500000.0,4149.5,94108.0,626771.0,1674120000000.0,-1000000.0,0.7400157762126196,1167.8037
15068118,San Francisco,CONDO,FOR_SALE,sqft,CA,no,Low,1.0,1.0,600.0,5236.0,725000.0,3173.0,94108.0,635796.0,1682320000000.0,-40000.0,1.202770037372794,1887.3862
